layer,threshold,records,max_batch_outliers,target_values,max_batch_outlier_ratio,total_outliers,nonzero_batches,ppl,ppl_err,target_ratio,ratio_delta,source_experiment
11,27.0,50,73,524288,0.0001392364501953125,1854,50,10.27,0.28025,0.0001,3.9236450195312495e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
12,23.0,50,53,524288,0.0001010894775390625,537,45,10.2084,0.27766,0.0001,1.0894775390624952e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
13,14.5,50,47,524288,8.96453857421875e-05,1190,50,57.7501,1.87799,0.0001,-1.0354614257812505e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
14,21.0,50,46,524288,8.7738037109375e-05,809,50,11.3295,0.29648,0.0001,-1.2261962890625005e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
15,14.5,50,48,524288,9.1552734375e-05,1324,50,57.7501,1.87799,0.0001,-8.447265625000005e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
16,17.0,50,55,524288,0.0001049041748046875,1414,50,27.1359,0.80505,0.0001,4.904174804687495e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
17,13.5,50,50,524288,9.5367431640625e-05,1057,50,80.9454,2.796,0.0001,-4.632568359375005e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
18,17.75,50,52,524288,9.918212890625e-05,823,50,21.0603,0.59765,0.0001,-8.178710937500048e-07,20260605T072559Z-kcache-outlier-threshold-ratio-sweep
19,12.5,50,55,524288,0.0001049041748046875,1892,50,84.8881,2.92925,0.0001,4.904174804687495e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
20,13.5,50,44,524288,8.392333984375e-05,1189,50,80.9454,2.796,0.0001,-1.6076660156250005e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
21,18.25,50,54,524288,0.000102996826171875,1127,50,18.2195,0.50345,0.0001,2.996826171874995e-06,20260605T072559Z-kcache-outlier-threshold-ratio-sweep
22,17.75,50,68,524288,0.00012969970703125,1374,50,21.0603,0.59765,0.0001,2.9699707031249995e-05,20260605T072559Z-kcache-outlier-threshold-ratio-sweep
23,23.0,50,36,524288,6.866455078125e-05,364,47,10.2084,0.27766,0.0001,-3.1335449218750005e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
24,13.0,50,41,524288,7.82012939453125e-05,1202,50,97.4305,3.39968,0.0001,-2.1798706054687505e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
25,16.25,50,46,524288,8.7738037109375e-05,939,50,34.564,1.06324,0.0001,-1.2261962890625005e-05,20260605T072559Z-kcache-outlier-threshold-ratio-sweep
26,14.5,50,48,524288,9.1552734375e-05,757,50,57.7501,1.87799,0.0001,-8.447265625000005e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
27,15.5,50,43,524288,8.20159912109375e-05,1169,50,42.4308,1.33203,0.0001,-1.7984008789062505e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
28,14.5,50,57,524288,0.0001087188720703125,1224,50,57.7501,1.87799,0.0001,8.718872070312495e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
29,15.5,50,48,524288,9.1552734375e-05,1155,50,42.4308,1.33203,0.0001,-8.447265625000005e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
30,20.25,50,60,524288,0.00011444091796875,1036,50,12.2373,0.32109,0.0001,1.4440917968749995e-05,20260605T072559Z-kcache-outlier-threshold-ratio-sweep
31,15.0,50,51,524288,9.72747802734375e-05,823,50,43.4141,1.35843,0.0001,-2.725219726562505e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
32,15.75,50,57,524288,0.0001087188720703125,588,50,37.7347,1.16413,0.0001,8.718872070312495e-06,20260605T072559Z-kcache-outlier-threshold-ratio-sweep
33,13.0,50,45,524288,8.58306884765625e-05,1186,50,97.4305,3.39968,0.0001,-1.4169311523437505e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
34,20.25,50,58,524288,0.000110626220703125,860,49,12.2373,0.32109,0.0001,1.0626220703124995e-05,20260605T072559Z-kcache-outlier-threshold-ratio-sweep
35,30.0,50,54,524288,0.000102996826171875,744,50,10.3766,0.28739,0.0001,2.996826171874995e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
